episode,level,reward
1,1,-13.9900
2,1,-6.4500
3,1,-62.0700
4,1,1.5700
5,1,-12.5300
6,1,-20.8100
7,1,-19.9800
8,1,-45.4600
9,1,-1.1700
10,1,-59.1800
11,1,8.1600
12,1,9.0100
13,1,0.7300
14,2,7.1800
15,2,13.9700
16,2,-10.2100
17,2,-4.0500
18,2,-7.2400
19,2,39.1200
20,2,-7.4900
21,2,10.9000
22,2,-46.5300
23,2,-2.7600
24,2,-37.0100
25,2,9.7100
26,2,-35.2500
27,2,-35.5900
28,3,18.0000
29,3,-79.8400
30,3,-17.4700
31,3,-16.4400
32,3,1.2300
33,3,6.5200
34,3,-12.9400
35,3,34.6600
36,3,-36.8200
37,3,-15.0600
38,3,-15.3100
39,3,-0.0800
40,3,38.5800
41,3,-15.9200
42,3,-24.4200
43,3,-22.6900
44,3,62.1400
45,3,18.7700
46,3,-11.5400
47,3,12.7800
48,3,-18.3400
49,3,-17.1900
50,3,2.7800
51,3,35.7600
52,3,-26.5000
53,3,32.5200
54,3,-16.8400
55,3,7.0900
56,3,3.9600
57,3,-29.7800
58,3,6.8000
59,3,-26.4600
60,3,-50.3400
61,3,-16.4200
62,3,18.9200
63,3,1.8900
64,3,9.8500
65,3,-50.5600
66,3,-31.0400
67,3,-45.5300
68,3,-0.4000
69,3,-59.3700
70,3,40.6200
71,3,17.4200
72,3,29.4900
73,3,-33.8800
74,3,-41.7000
75,3,44.0700
76,3,-10.7200
77,3,21.4100
78,3,-2.1900
79,3,28.5500
80,3,6.3300
81,3,-12.9200
82,3,-18.2400
83,3,41.8400
84,3,-19.7200
85,3,-47.6900
86,3,9.8100
87,3,-7.4800
88,3,3.8700
89,3,-30.9100
90,3,-12.6900
91,3,26.4500
92,3,-9.0900
93,3,12.0400
94,3,16.0900
95,3,18.8700
96,3,17.1000
97,3,-9.6500
98,3,-7.2100
99,3,-17.3400
100,3,-7.4900
101,3,14.5900
102,3,-65.8500
103,3,-17.1100
104,3,-12.7100
105,3,21.2200
106,3,9.8800
107,3,-31.6200
108,3,18.1500
109,3,19.6100
110,3,13.1200
111,3,-3.6100
112,3,-21.4700
113,3,11.0500
114,3,41.2600
115,3,-64.4000
116,3,-21.1900
117,3,-26.5900
118,3,-1.3800
119,3,12.8100
120,3,-8.0900
121,3,29.1300
122,3,-19.5700
123,3,22.0900
124,3,-0.8000
125,3,1.1800
126,3,20.1600
127,3,-32.3100
128,3,45.0600
129,3,-35.2900
130,3,-43.1300
131,3,6.3400
132,3,15.6400
133,3,-8.7800
134,3,-2.4300
135,3,7.2300
136,3,11.5100
137,3,0.2200
138,3,-40.6100
139,3,-35.1100
140,3,-2.2200
141,3,33.5600
142,3,-4.4600
143,3,-34.1600
144,3,44.6900
145,3,-3.2000
146,3,-23.2700
147,3,-7.1100
148,3,0.0200
149,3,14.6000
150,3,16.2000
151,3,19.8600
152,3,-2.1400
153,3,20.7300
154,3,16.1500
155,3,-33.2500
156,3,-19.8100
157,3,19.9600
158,3,-28.8100
159,3,15.7500
160,3,7.6100
161,3,-0.6200
162,3,-63.4700
